scenario,year,age,survival,survival low,survival high
exponential,2060,75,0.908721,0.895215,0.909283
exponential,2060,76,0.89694,0.881884,0.897403
exponential,2060,77,0.883384,0.866763,0.883936
exponential,2060,78,0.867898,0.849593,0.868456
exponential,2060,79,0.850238,0.830129,0.850852
exponential,2060,80,0.830173,0.808461,0.830994
exponential,2060,81,0.807529,0.78421,0.808419
exponential,2060,82,0.782181,0.757269,0.783274
exponential,2060,83,0.754021,0.727259,0.755365
exponential,2060,84,0.723142,0.694692,0.724705
exponential,2060,85,0.689499,0.659223,0.690585
exponential,2060,86,0.653194,0.621277,0.653961
exponential,2060,87,0.61409,0.580629,0.614646
exponential,2060,88,0.571868,0.537735,0.572359
exponential,2060,89,0.527821,0.493483,0.528146
exponential,2060,90,0.481866,0.447468,0.482107
exponential,2060,91,0.434841,0.400894,0.434895
